Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 10:49:20.391443
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 28.11.22 10:49:30,2022-11-28 10:49:30.974298
Зупиняємо процес перевірки , функція: stop_ssl_check_nacp,2022-11-28 10:50:02.878389
Запуск скрипта, LOADED,28:11:22 11:05:23
help повідомлення в чат, функція help,2022-11-28 11:05:27.812017
Зупиняємо процес перевірки ,функцція: stop_up_nacp,2022-11-28 11:05:31.160531
Зупиняємо процес перевірки , функція: stop_ssl_check_nacp,2022-11-28 11:05:33.982957
Запускаємо перевірку SSL-сертифікатів (1 раз на 1.0 хв), функція ssl_check_nacp,2022-11-28 11:05:40.714351
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 11:05:44.922970
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 28.11.22 11:05:55,2022-11-28 11:05:55.882456
Запуск скрипта, LOADED,28:11:22 13:00:30
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 13:00:37.937649
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Down since:  28.11.22 13:00:46,2022-11-28 13:00:46.851490
Запуск скрипта, LOADED,28:11:22 13:04:33
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 13:04:38.567846
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 13:05:18.388239
Запуск скрипта, LOADED,28:11:22 15:11:36
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:11:43.646055
Запуск скрипта, LOADED,28:11:22 15:14:18
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:14:22.315458
erp.nazk.gov.ua,ALERT: DOWN 🛑 OSError. Down since: 28.11.22 15:14:30,2022-11-28 15:14:30.499069
confluence.nazk.gov.ua,ALERT: DOWN 🛑 OSError. Down since: 28.11.22 15:14:31,2022-11-28 15:14:31.374998
mail.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 28.11.22 15:14:38,2022-11-28 15:14:39.069749
Запуск скрипта, LOADED,28:11:22 15:20:07
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:20:36.846593
erp.nazk.gov.ua,ALERT: DOWN 🛑 OSError. Down since: 28.11.22 15:20:42,2022-11-28 15:20:43.191740
confluence.nazk.gov.ua,ALERT: DOWN 🛑 OSError. Down since: 28.11.22 15:20:43,2022-11-28 15:20:44.003894
mail.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 28.11.22 15:20:50,2022-11-28 15:20:51.019993
Запуск скрипта, LOADED,28:11:22 15:25:11
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:25:13.235705
erp.nazk.gov.ua,ALERT: DOWN 🛑 OSError. Down since: 28.11.22 15:25:18,2022-11-28 15:25:18.283421
confluence.nazk.gov.ua,ALERT: DOWN 🛑 OSError. Down since: 28.11.22 15:25:18,2022-11-28 15:25:18.790267
mail.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 28.11.22 15:25:25,2022-11-28 15:25:26.046891
Запуск скрипта, LOADED,28:11:22 15:26:04
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:26:09.888768
Запуск скрипта, LOADED,28:11:22 15:26:33
Запуск скрипта, LOADED,28:11:22 15:27:20
Запуск скрипта, LOADED,28:11:22 15:27:24
Запуск скрипта, LOADED,28:11:22 15:27:26
Запуск скрипта, LOADED,28:11:22 15:27:28
Запуск скрипта, LOADED,28:11:22 15:27:36
Запуск скрипта, LOADED,28:11:22 15:27:38
Запуск скрипта, LOADED,28:11:22 15:27:59
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:28:03.468641
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Down since:  28.11.22 15:28:11,2022-11-28 15:28:11.466964
Запуск скрипта, LOADED,28:11:22 15:29:59
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:30:03.461850
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Down since:  28.11.22 15:30:11,2022-11-28 15:30:11.627447
Запуск скрипта, LOADED,28:11:22 15:31:13
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:31:17.120603
sanctions.nazk.gov.ua,ALERT: DOWN 🛑 Down since:  28.11.22 15:31:17,2022-11-28 15:31:17.878151
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 28.11.22 15:31:27,2022-11-28 15:31:27.959247
Запуск скрипта, LOADED,28:11:22 15:34:40
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:34:44.534720
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Down since:  28.11.22 15:34:54,2022-11-28 15:34:54.587922
Запуск скрипта, LOADED,28:11:22 15:35:23
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:35:25.629344
Запуск скрипта, LOADED,28:11:22 15:38:55
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:38:59.146639
Запуск скрипта, LOADED,28:11:22 15:39:54
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:39:58.399421
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 28.11.22 15:40:09,2022-11-28 15:40:09.904460
Запуск скрипта, LOADED,28:11:22 15:41:17
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:41:21.788973
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 28.11.22 15:41:31,2022-11-28 15:41:31.964917
Запуск скрипта, LOADED,28:11:22 15:42:57
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:43:01.157865
Запуск скрипта, LOADED,28:11:22 15:45:17
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:45:23.049927
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Down since:  28.11.22 15:45:31,2022-11-28 15:45:31.890335
Запуск скрипта, LOADED,28:11:22 15:46:51
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:46:54.678028
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 28.11.22 15:47:04,2022-11-28 15:47:05.029862
Запуск скрипта, LOADED,28:11:22 15:50:01
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:50:08.156282
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Down since:  28.11.22 15:50:16,2022-11-28 15:50:16.865952
Запуск скрипта, LOADED,28:11:22 15:51:15
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:51:19.905382
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 28.11.22 15:51:30,2022-11-28 15:51:30.968160
Запуск скрипта, LOADED,28:11:22 15:56:32
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 15:56:35.165239
confluence.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 28.11.22 15:56:45,2022-11-28 15:56:46.005049
Запуск скрипта, LOADED,28:11:22 16:08:05
Запуск скрипта, LOADED,28:11:22 16:08:49
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 16:08:53.389497
Запуск скрипта, LOADED,28:11:22 16:11:07
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 16:11:20.670097
Запуск скрипта, LOADED,28:11:22 16:13:36
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 16:13:44.221883
Запуск скрипта, LOADED,28:11:22 16:18:51
Запуск скрипта, LOADED,28:11:22 16:20:43
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 16:20:49.042132
Запуск скрипта, LOADED,28:11:22 16:24:24
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 16:24:27.197205
Запуск скрипта, LOADED,28:11:22 16:29:23
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 16:29:26.487271
91.142.175.11:53,ALERT: DOWN 🛑 Down since:  28.11.22 16:33:25,2022-11-28 16:33:25.569467
91.142.175.11:53,RECOVERY: 🟢 Був вимкнений протягом: 28.11.22 16:33:25,2022-11-28 16:40:30.222072
Запуск скрипта, LOADED,28:11:22 17:17:28
Запуск скрипта, LOADED,28:11:22 17:25:58
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-28 17:26:06.991402
91.142.175.11:53,ALERT: DOWN 🛑 Down since:  28.11.22 17:26:32,2022-11-28 17:26:32.857844
Запуск скрипта, LOADED,29:11:22 12:05:43
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 12:05:56.745747
91.142.175.11:53,ALERT: DOWN 🛑 Down since:  29.11.22 12:06:22,2022-11-29 12:06:22.598845
Запускаємо перевірку SSL-сертифікатів (1 раз на 24.0 хв), функція ssl_check_nacp,2022-11-29 12:06:55.721321
Запускаємо перевірку SSL-сертифікатів (1 раз на 24.0 хв), функція ssl_check_nacp,2022-11-29 12:07:04.248876
Запуск скрипта, LOADED,29:11:22 12:08:46
Запускаємо перевірку SSL-сертифікатів (1 раз на 1440.0 хв), функція ssl_check_nacp,2022-11-29 12:08:48.859519
Запуск скрипта, LOADED,29:11:22 12:12:44
Запускаємо перевірку SSL-сертифікатів (1 раз на 1440.0 хв), функція ssl_check_nacp,2022-11-29 12:12:46.406641
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 12:12:51.062985
91.142.175.11:53,ALERT: DOWN 🛑 Down since:  29.11.22 12:13:16,2022-11-29 12:13:16.604319
Запуск скрипта, LOADED,29:11:22 12:17:08
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 12:17:16.807887
91.142.175.11:53,ALERT: DOWN 🛑 Down since:  29.11.22 12:17:42,2022-11-29 12:17:42.481087
91.142.175.11:53,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 1 хв 7 сек.,2022-11-29 12:18:50.188627
Запуск скрипта, LOADED,29:11:22 12:19:47
Запуск скрипта, LOADED,29:11:22 12:20:28
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 12:20:30.313436
91.142.175.11:53,ALERT: DOWN 🛑 Down since:  29.11.22 12:20:55,2022-11-29 12:20:56.236134
91.142.175.11:53,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 1 хв 8 сек.,2022-11-29 12:22:04.869000
Запуск скрипта, LOADED,29:11:22 12:23:22
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 12:24:09.449501
Запуск скрипта, LOADED,29:11:22 12:24:42
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 12:24:43.096353
91.142.175.11:53,ALERT: DOWN 🛑 Down since:  29.11.22 12:25:08,2022-11-29 12:25:09.138033
91.142.175.11:53,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 2 хв 32 сек.,2022-11-29 12:27:41.901265
Запуск скрипта, LOADED,29:11:22 13:52:57
Запуск скрипта, LOADED,29:11:22 14:14:52
